titulo,preco,quartos,suites,metragem,vagas,link
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",270000,2,,48,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1351720
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",460000,3,1,64,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1385103
"QNL 8 Conjunto D, TAGUATINGA NORTE, TAGUATINGA",275000,2,,63,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-8-conjunto-d-1383124
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",665000,2,1,103,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1109447
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",630000,3,,90,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-24-1404381
"CSA 1, TAGUATINGA SUL, TAGUATINGA",330000,1,,40,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1351000
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",510000,2,1,63,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1218777
"CNB 5, TAGUATINGA NORTE, TAGUATINGA",350000,3,,80,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-5-1366932
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",365000,2,1,52,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1409137
"CSG 3, TAGUATINGA SUL, TAGUATINGA",429000,1,1,47,2,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1289116
"CNB 8, TAGUATINGA NORTE, TAGUATINGA",310000,2,,65,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-8-1407914
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",330000,2,,63,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1295995
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",540000,3,1,73,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1169071
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",460000,3,1,65,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1411994
"QNA 42, TAGUATINGA NORTE, TAGUATINGA",470000,3,1,70,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qna-42-1377252
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",390000,62,1,62,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1402445
