titulo,preco,quartos,suites,metragem,vagas,link,subtitulo
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",270.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1351720,"48M², 2 QUARTOS, GARAGEM, VISTA LIVRE, LAZER COMPLETO, RESIDENCIAL ESPLANADA - R$ 270.000"
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",460.000,3 Quartos,1 Suíte,64 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1385103,APARTAMENTO 3 QUARTOS - ALTOS DE TAGUATINGA II - TAGUATINGA NORTE
"QNL 8 Conjunto D, TAGUATINGA NORTE, TAGUATINGA",275.000,2 Quartos,,63 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-8-conjunto-d-1383124,63 M2 APARTAMENTO 2 QUARTOS 1 VAGA ACEITA FINANCIAMENTO ACEITA FGTS QNL 08 BLOCO D
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",665.000,2 Quartos,1 Suíte,103 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1109447,TAGUATINGA / COBERTURA / 2 QUARTOS / 61
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",630.000,3 Quartos,,90 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-24-1404381,APARTAMENTO COBERTURA NO TOP LIFE TAGUATINGA 3 QUARTOS VISTA LIVRE CHURRASQUERIA ESPAÇOSA
"CSA 1, TAGUATINGA SUL, TAGUATINGA",330.000,1 Quarto,,40 m²,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1351000,"40M², MOBILIADO, VARANDA, PRÓXIMO AO TAGUATINGA SHOPPING, LUCAS NASCIMENTO - R$: 330.000"
"CNB 3, TAGUATINGA NORTE, TAGUATINGA",510.000,2 Quartos,1 Suíte,63 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-3-1218777,"63M², 2 QTOS, SUÍTE, ANDAR ALTO, VISTA LIVRE, GARAGEM, RES. MONDRIAN, CNB 3 - R$: 510.000"
"CNB 5, TAGUATINGA NORTE, TAGUATINGA",350.000,3 Quartos,,80 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-5-1366932,3 QUARTOS | 80M | VISTA LIVRE
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",365.000,2 Quartos,1 Suíte,52 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1409137,"52M², 2 QUARTOS, SUÍTE, GARAGEM, LAZER, À VENDA POR R$: 365.000 E ACEITA FINANCIAMENTO"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",429.000,1 Quarto,1 Suíte,47 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1289116,CONDOMÍNIO CLUBE COM SERVIÇOS DE HOTELARIA
"CNB 8, TAGUATINGA NORTE, TAGUATINGA",310.000,2 Quartos,,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-8-1407914,"APARTAMENTO DE 75M² COM 03 QUARTOS, VISTA LIVRE E VAGA | TAGUATINGA NORTE - BRASÍLIA/DF"
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",330.000,2 Quartos,,63 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1295995,CNB 6 EDIFÍCIO DONA IZOLETA | APARTAMENTO 2 QUARTOS EM ANDAR ALTO - ARAMRIOS - ACEITA FINANCIAMENTO
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",540.000,3 Quartos,1 Suíte,73 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1169071,QNC 1 PARADISO CLUB RESIDENCE | APARTAMENTO COM 3 QUARTOS - SENDO 1 SUÍTE - 1 VAGA - ÁREA DE LAZER -
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",460.000,3 Quartos,1 Suíte,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1411994,TAGUATINGA NORTE
"QNA 42, TAGUATINGA NORTE, TAGUATINGA",470.000,3 Quartos,1 Suíte,70 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qna-42-1377252,APARTAMENTO À VENDA COM 3 QUARTOS EM TAGUATINGA NORTE
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",390.000,62 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-st-area-especiais-setor-c-norte-1402445,
