link,titulo,preco,quartos,metragem,vagas
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qi-416-conjunto-2-1408006,IMÓVEL SEGURO,385000,2,57,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qs-501-conjunto-3-1012429,* IMÓVEL SEGURO 05/03/2026,288000,2,47,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qi-416-1201735,"ASSINADO GUILHERME TAKEDA, DO ESCRITÓRIO TAKEDA DESIGN, E IAGO FERNANDO,",375000,2,52,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qn-307-1401900,IMÓVEL ASSINADO,289000,2,48,2
https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-samambaia-sul-samambaia-df-qr-118-1336719,IMÓVEL ASSINADO,190000,1,30,
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-quadra-102-950334,ASSINADO PAULO OCTÁVIO,630429,3,71,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-quadra-101-conjunto-3-1333003,ASSINADO VIVA ARQUITETURA,475000,3,69,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qr-212-1344437,IMÓVEL ASSINADO,345000,2,49,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qn-120-conjunto-2-1306712,ASSINADO MKZARQUITETURA,425000,2,95,2
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qs-431-1347573,ASSINADO SZERVISNK,199000,2,46,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qs-104-1407066,IMÓVEL ASSINADO,399667,2,51,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qs-402-1327149,ASSINADO LGA LAMAS ENGENHARIA E ARQUITETURA LTDA,560000,2,60,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qr-120-1416319,IMÓVEL SEGURO,390000,2,52,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qn-614-conjunto-d-1403109,* IMÓVEL SEGURO 24/08/2026,350000,2,54,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qi-416-1323066,* IMÓVEL SEGURO 23/08/2026,350000,2,53,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-quadra-102-conjunto-2-1380867,* IMÓVEL SEGURO 07/08/2026,679000,3,87,2
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qs-308-conjunto-5-1377116,* IMÓVEL SEGURO 06/08/2026,490000,2,77,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-qs-501-1226384,* IMÓVEL SEGURO 05/03/2026,390000,3,63,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-quadra-102-conjunto-2-1240818,* IMÓVEL SEGURO 09/11/2025,565000,2,70,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-norte-samambaia-df-quadra-202-conjunto-2-1376961,IMÓVEL SEGURO,485000,3,69,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-qs-303-conjunto-3-1205922,* IMÓVEL SEGURO 30/07/2026,299999,3,54,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qn-303-conjunto-1-1363245,* IMÓVEL SEGURO 01/07/2026,280000,2,49,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-sul-samambaia-df-qr-108-conjunto-6-1341623,* IMÓVEL SEGURO 28/05/2026,299000,2,52,1
https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-samambaia-sul-samambaia-df-qr-312-conjunto-4-a-1313166,* IMÓVEL SEGURO 11/04/2026,195000,1,31,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-qr-108-conjunto-7-a-1266762,* IMÓVEL SEGURO 26/12/2025,349950,3,63,1
https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-samambaia-norte-samambaia-df-qs-421-1245889,* IMÓVEL SEGURO 12/12/2025,230000,2,45,1
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-quadra-302-conjunto-3-612558,SUPER DESTAQUE,520000,3,68,2
https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-samambaia-sul-samambaia-df-quadra-102-conjunto-2-1382385,SUPER DESTAQUE,585000,3,70,2
